ibge7,Alagamento,Colapso,Corrida de massa,Deslizamento,Enchente,Enxurrada,Erosão,Expansão/Contração de argilas,Inundação,Outros,Queda,Rastejo,Subsidência,Tombamento,Alto,Muito alto,n_risco
3204005,0,0,0,14,0,1,0,0,3,0,7,0,0,0,21,4,25
3204054,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3
3204203,0,0,0,4,0,0,1,0,1,0,0,0,0,0,2,4,6
3204302,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,3,4
3204351,0,0,0,3,0,0,0,0,2,0,0,0,0,0,2,3,5
3204401,0,0,0,1,0,8,0,0,0,0,5,1,0,0,5,10,15
3204500,0,0,0,15,0,0,0,0,10,0,1,0,0,0,25,1,26
3204559,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,9
3204609,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,2,6
3204658,0,0,0,6,0,0,0,0,1,0,0,0,0,0,6,1,7
3204708,0,0,0,13,0,0,0,0,5,0,0,0,0,0,16,2,18
3204807,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,12,12
3204906,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1,4,5
3204955,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1,4,5
3205002,0,0,0,8,0,0,0,0,4,0,0,0,0,0,10,2,12
3205010,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,5
3205036,0,0,0,2,0,0,0,0,13,0,1,0,0,0,14,2,16
3205069,0,0,1,8,0,0,1,0,3,0,1,0,0,0,12,2,14
3205101,0,0,0,20,10,0,0,0,3,0,2,0,0,0,35,0,35
3205150,0,0,0,5,0,0,0,0,10,0,1,0,0,0,14,2,16
3205176,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
3205200,0,1,0,12,1,0,0,0,0,0,2,0,0,0,0,16,16
3300100,0,0,5,64,0,2,0,0,0,0,3,1,0,0,44,31,75
3301108,0,0,0,6,0,0,0,0,0,0,0,2,0,0,4,4,8
3303401,0,0,12,240,0,0,1,0,1,0,0,0,0,0,0,254,254
3304607,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,1,3
3305703,0,0,0,3,0,0,2,0,0,0,0,1,0,0,3,3,6
3500402,0,0,0,3,0,0,0,0,2,0,1,0,0,0,6,0,6
3500501,0,0,0,8,0,0,1,0,0,0,0,0,0,0,9,0,9
3500550,0,0,0,1,1,0,1,0,0,0,0,0,0,0,3,0,3
3501608,0,0,0,1,0,0,0,0,5,0,0,0,0,0,6,0,6
3501905,0,0,0,8,0,3,0,0,1,0,0,0,0,0,12,0,12
3502002,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
3502705,0,0,0,15,0,0,0,0,6,0,0,0,0,0,11,10,21
3503109,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
3503604,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
3503802,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2
3504107,0,0,0,5,0,3,0,0,4,0,0,0,0,0,7,5,12
3504503,0,0,0,0,0,0,1,0,3,0,0,0,0,0,4,0,4
3506003,0,0,0,0,1,4,0,0,1,0,0,0,0,0,6,0,6
3506904,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
3507605,0,0,0,3,0,0,1,0,9,0,1,0,0,0,14,0,14
3508405,0,0,0,2,0,1,1,0,2,0,1,0,0,0,7,0,7
3508801,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
3509502,0,0,0,5,11,0,1,0,1,0,0,0,0,0,18,0,18
3510401,0,0,0,1,0,0,0,0,10,0,0,0,0,0,11,0,11
3510609,0,0,0,2,0,0,0,0,4,0,0,0,0,0,5,1,6
3510807,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3
3511607,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
3511706,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,1,4
3512209,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2
3512308,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4
3512407,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
3513603,0,0,0,9,0,0,0,0,1,0,0,0,0,0,9,1,10
3514403,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,3
3514809,0,0,0,4,0,0,0,0,7,0,0,0,0,0,11,0,11
3515004,0,0,0,15,0,0,0,0,2,0,0,0,0,0,13,4,17
3515103,0,0,0,13,0,0,0,0,3,0,0,0,0,0,13,3,16
3515186,0,0,0,2,0,0,0,0,2,0,0,0,0,0,4,0,4
3515509,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
3515608,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
3516200,0,0,0,1,0,0,1,0,6,0,0,0,0,0,7,1,8
3516309,0,0,0,69,0,0,13,0,4,0,0,0,0,0,51,35,86
3518305,0,0,0,14,0,1,0,0,2,0,0,0,0,0,6,11,17
3518503,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,2
3518800,0,0,0,45,0,0,3,0,43,0,0,0,0,0,74,17,91
3520301,0,0,0,3,0,0,3,0,7,0,2,0,0,0,12,3,15
3521002,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,2
3522109,0,0,0,3,0,0,0,0,10,0,0,0,0,0,11,2,13
3522208,0,0,0,15,0,0,0,0,2,0,0,0,0,0,13,4,17
3522802,0,0,0,0,0,0,1,0,3,0,0,0,0,0,4,0,4
3523107,0,0,0,18,0,0,0,0,13,0,0,0,0,0,24,7,31
3523206,0,0,0,1,0,0,1,0,4,0,0,0,0,0,6,0,6
3523305,0,0,0,4,0,0,0,0,3,0,0,0,0,0,7,0,7
3523404,0,0,0,1,0,0,1,0,11,0,0,0,0,0,13,0,13
3523503,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
3523602,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,2
3523909,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,2
3525003,0,0,0,6,0,0,0,0,3,0,0,0,0,0,6,3,9
3525904,0,0,0,15,0,0,8,0,6,0,0,0,0,0,21,8,29
3526902,0,0,0,3,0,1,2,0,3,0,0,0,0,0,7,2,9
3527009,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,1,6
3528502,0,0,0,21,0,0,1,0,1,0,2,0,0,1,9,17,26
3528601,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,2
3529005,0,0,0,10,0,3,0,0,0,0,0,0,0,0,11,2,13
3530904,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
3531803,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4
3533403,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,7
3534906,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
3536000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
3536109,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
3536208,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
3536802,0,0,0,3,2,0,0,0,0,0,0,0,0,0,5,0,5
3537107,0,0,0,7,0,0,0,0,5,0,0,0,0,0,12,0,12
3537800,0,0,0,2,0,0,0,0,0,0,4,0,0,0,4,2,6
3537909,0,0,0,2,0,0,0,0,1,0,0,0,0,0,3,0,3
3538204,0,0,0,1,0,0,1,0,4,0,0,0,0,0,5,1,6
3538709,0,0,0,3,0,0,1,0,3,0,1,0,0,0,4,4,8
3539301,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
3540507,0,0,0,1,0,0,0,0,2,0,0,0,0,0,3,0,3
3540705,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
3541000,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,4
3541059,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
3542602,0,0,0,5,0,0,0,0,8,0,0,0,0,0,10,3,13
3543006,0,0,0,14,0,0,0,0,6,0,0,0,0,0,20,0,20
3544004,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,3
3546702,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
3547304,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,0,9
3547809,0,0,0,27,0,1,0,0,10,0,0,0,0,0,30,8,38
3548708,0,0,0,7,1,12,3,0,8,0,0,1,0,0,32,0,32
3548906,0,0,0,1,1,0,0,0,2,0,1,0,0,0,5,0,5
3549102,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
3549706,0,0,0,1,0,0,0,0,2,0,1,0,0,0,4,0,4
3550001,0,0,0,10,0,0,0,0,2,0,0,0,0,0,11,1,12
3550100,0,0,0,3,0,0,8,0,0,0,0,0,0,0,9,2,11
3550209,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
3550407,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,2
3550605,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,2,3
3550803,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
3551207,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
3551702,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
3551801,0,0,0,6,0,0,0,0,1,0,0,0,0,0,7,0,7
3552205,0,0,0,10,0,2,1,0,4,0,1,0,0,0,9,9,18
3552403,0,0,0,0,0,1,2,0,5,0,0,0,0,0,8,0,8
3553302,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
3553856,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
3556404,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
3556701,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,2,4
3557303,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
4100400,0,0,0,17,0,0,0,0,6,0,1,0,0,0,21,3,24
4101200,0,0,0,5,0,0,0,0,2,0,0,0,0,0,7,0,7
4101804,0,0,0,5,0,0,0,0,4,0,0,0,0,0,5,4,9
4102604,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2
4103057,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,2
4103107,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,3,4
4104006,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2
4104204,0,0,0,23,0,0,0,0,22,0,0,0,0,0,12,33,45
4104253,0,0,0,2,0,0,0,0,4,0,0,0,0,0,4,2,6
4104600,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,1,3
4105201,0,0,0,4,0,0,0,0,4,0,0,0,0,0,7,1,8
4105805,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
4106902,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3
4107652,0,0,0,4,0,0,0,0,4,0,0,0,0,0,2,6,8
4108304,0,0,0,0,0,0,0,0,12,0,1,0,0,0,8,5,13
4108403,0,0,0,1,0,2,0,0,8,0,0,0,0,0,8,3,11
4108502,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,2,4
4109302,0,0,0,6,0,0,0,0,0,0,0,1,0,0,7,0,7
4109500,0,0,0,1,0,0,0,0,8,0,0,0,0,0,4,5,9
4109609,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
4111258,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
4112009,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,1,3
4113502,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
4118204,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
4118501,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,2
4119152,0,1,0,0,0,0,3,0,2,0,0,0,0,0,6,0,6
4119509,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
4121406,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,2
4122156,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,2
4122206,0,0,0,18,0,0,0,0,5,0,0,0,2,0,13,12,25
4122305,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,2,5
4123824,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
4125506,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,3
4125605,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,4
4125704,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
4126272,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
4128104,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,3,4
4128203,0,0,0,1,5,0,0,0,0,0,0,0,0,0,6,0,6
4200051,0,0,0,1,1,2,0,0,1,0,0,0,0,0,4,1,5
4200101,0,0,0,2,0,0,0,0,6,0,1,0,0,0,9,0,9
4200200,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,6
4200309,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,5,6
4200408,0,0,0,7,0,0,0,0,1,0,0,0,0,0,7,1,8
4200507,0,0,0,5,1,0,0,0,1,0,0,0,0,0,3,4,7
4200556,0,0,0,1,0,0,0,0,2,0,0,0,0,0,3,0,3
4200606,0,0,0,4,0,1,0,0,4,0,0,0,0,0,9,0,9
4200705,0,0,0,18,0,0,0,0,11,0,0,0,0,0,16,13,29
4200754,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
4200804,0,0,0,4,0,0,0,0,1,0,0,0,0,0,5,0,5
4200903,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,7
4201000,0,0,0,3,2,0,0,0,1,0,0,0,0,0,5,1,6
4201109,0,0,0,7,2,1,1,0,0,0,0,0,0,0,6,5,11
4201208,0,0,0,10,0,2,3,0,0,0,0,0,0,0,14,1,15
4201257,0,0,0,1,0,0,0,0,11,0,0,0,0,0,10,2,12
4201273,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,4
4201307,0,0,0,0,0,0,0,0,12,0,0,0,0,0,12,0,12
4201406,0,0,0,0,0,0,1,0,14,0,2,0,0,0,6,11,17
4201505,0,0,0,3,0,0,0,0,0,0,1,0,0,0,4,0,4
4201653,0,0,0,2,0,0,0,0,2,0,0,0,0,0,3,1,4
4201703,0,0,1,2,0,0,1,0,4,0,0,0,0,0,7,1,8
4201802,0,0,0,0,0,0,0,0,16,0,0,0,0,0,6,10,16
4201901,0,0,0,1,0,0,1,0,6,0,0,0,0,0,5,3,8
4201950,0,0,0,0,3,1,0,0,0,0,0,0,0,0,4,0,4
4202008,0,0,0,17,0,0,0,0,6,0,2,0,0,0,25,0,25
4202057,0,0,0,0,0,0,1,0,5,0,0,0,0,0,6,0,6
4202073,0,0,0,0,3,0,1,0,0,0,0,0,0,0,4,0,4
4202081,0,0,0,3,0,0,0,0,0,0,2,0,0,0,4,1,5
4202099,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
4202107,0,0,0,1,0,0,0,0,10,0,0,0,0,0,11,0,11
4202131,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4
4202156,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2
4202206,0,0,0,14,0,1,0,0,12,0,0,0,0,0,27,0,27
4202305,0,0,0,18,0,9,0,0,10,0,0,0,0,0,37,0,37
4202438,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,1,7
4202453,0,0,0,4,0,0,1,0,4,0,0,1,0,0,7,3,10
4202503,0,0,0,4,0,0,0,0,4,0,0,0,0,0,8,0,8
4202537,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4
4202578,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
4202602,0,0,0,5,0,0,0,0,9,0,0,0,0,0,10,4,14
4202701,0,0,0,2,0,0,7,0,3,0,0,0,0,0,12,0,12
4202800,0,0,0,2,0,0,1,0,11,0,0,0,0,0,14,0,14
4202859,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2
4202875,0,0,0,1,0,0,0,0,0,0,3,0,0,0,4,0,4
4202909,0,0,0,162,0,9,1,0,24,0,0,3,0,0,153,46,199
4203006,0,0,0,10,0,11,0,0,3,0,0,1,0,0,25,0,25
4203105,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
4203154,0,0,0,5,0,0,0,0,2,0,0,0,0,0,6,1,7
4203204,0,0,0,12,0,0,0,0,2,0,0,0,0,0,7,7,14
4203253,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
4203303,0,0,0,3,0,0,0,0,5,0,1,0,0,0,9,0,9
4203501,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
4203600,0,0,0,1,1,0,0,0,2,0,0,0,0,0,3,1,4
4203709,0,0,1,1,0,0,0,0,5,0,0,0,0,0,7,0,7
4203808,0,0,0,1,0,0,0,0,10,0,0,0,0,0,11,0,11
4203907,0,0,1,4,0,0,0,0,3,0,0,0,0,0,4,4,8
4203956,0,0,0,0,0,0,1,0,0,0,4,0,0,0,5,0,5
4204004,0,0,0,6,0,1,0,0,0,0,0,0,0,0,7,0,7
4204103,0,0,0,2,0,0,0,0,2,0,0,0,0,0,4,0,4
4204152,0,0,0,1,3,0,0,0,0,0,0,0,0,0,3,1,4
4204178,0,0,0,0,2,1,0,0,1,0,0,0,0,0,2,2,4
4204194,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
4204202,0,0,0,0,0,1,0,0,2,0,0,1,0,0,2,2,4
4204251,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
4204301,0,0,0,33,1,0,0,0,5,0,1,0,0,0,34,6,40
4204350,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,3,4
4204400,0,0,0,6,0,3,0,0,1,0,0,1,0,0,6,5,11
4204459,0,0,0,11,0,0,0,0,1,0,0,0,0,0,6,6,12
4204509,0,0,0,6,3,0,0,0,0,0,0,1,0,0,5,5,10
4204558,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4
4204608,0,0,0,5,0,1,0,0,18,0,1,0,0,0,16,9,25
4204707,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,2
4204756,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
4204806,0,0,0,4,3,0,0,0,3,0,0,0,0,0,2,8,10
4204905,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
4205001,0,0,0,7,0,1,0,0,2,0,0,0,0,0,10,0,10
4205100,0,0,0,0,0,0,1,0,6,0,0,0,0,0,5,2,7
4205159,0,0,0,2,0,0,0,0,3,0,0,0,0,0,5,0,5
4205191,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,2
4205209,0,0,0,6,0,0,0,0,6,0,0,0,0,0,7,5,12
4205308,0,0,0,3,0,0,0,0,4,0,0,0,0,0,5,2,7
4205407,0,0,0,12,0,0,6,0,0,0,12,0,0,0,28,2,30
4205431,0,0,0,2,0,0,1,0,3,0,0,0,0,0,6,0,6
4205456,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,2,5
4205506,0,0,0,8,0,0,1,0,4,0,0,0,0,0,11,2,13
4205555,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
4205605,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,3
4205704,0,0,4,18,0,0,0,0,0,0,0,0,0,0,21,1,22
4205803,0,0,0,3,0,0,0,0,1,0,0,0,0,0,4,0,4
4205902,0,0,0,35,0,0,1,0,0,0,3,0,0,0,39,0,39
4206009,0,0,0,5,0,0,0,0,0,0,9,0,0,0,14,0,14
4206108,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,6
4206207,0,0,0,3,0,0,0,0,0,0,1,0,0,0,4,0,4
4206306,0,0,0,18,0,6,0,0,0,0,0,0,0,0,21,3,24
4206405,0,0,0,6,0,0,0,0,1,0,3,0,0,0,9,1,10
4206504,0,0,0,17,1,0,0,0,13,0,0,0,0,0,30,1,31
4206603,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,2
4206652,0,0,1,4,0,5,0,0,1,0,0,0,0,0,11,0,11
4206702,0,0,0,4,0,0,0,0,2,0,0,0,0,0,4,2,6
4206751,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
4206801,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2
4206900,0,0,0,15,0,0,1,0,5,0,0,0,0,0,11,10,21
4207007,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6,2,8
4207106,0,0,0,13,0,0,0,0,0,0,0,0,0,0,13,0,13
4207205,0,0,0,7,0,0,0,0,0,0,3,0,0,0,10,0,10
4207304,0,0,0,3,0,0,0,0,2,0,0,0,0,0,5,0,5
4207403,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,5
4207502,0,0,0,4,0,0,0,0,5,0,1,2,0,0,7,5,12
4207577,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
4207601,0,0,0,2,0,0,0,0,4,0,0,0,0,0,6,0,6
4207684,0,0,0,4,0,0,0,0,5,0,0,0,0,0,8,1,9
4207700,0,0,0,7,0,1,0,0,1,0,0,0,0,0,7,2,9
4207759,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
4207809,0,0,0,1,0,0,0,0,4,0,0,0,0,0,4,1,5
4207858,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
4207908,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,5
4208005,0,0,0,12,0,0,0,0,3,0,0,0,0,0,15,0,15
4208104,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,5
4208203,0,1,0,13,5,0,0,0,0,0,0,0,0,0,11,8,19
4208302,0,0,0,3,0,0,0,0,7,0,0,0,0,0,7,3,10
4208401,0,0,0,5,0,0,0,0,2,0,0,0,0,0,7,0,7
4208450,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
4208500,0,0,2,7,6,0,0,0,1,0,0,0,0,0,14,2,16
4208609,0,0,0,2,0,0,0,0,2,0,0,0,0,0,3,1,4
4208708,0,0,5,6,0,12,1,0,22,0,1,0,0,0,39,8,47
4208807,0,0,0,1,0,0,0,0,1,0,8,0,0,0,10,0,10
4208906,0,0,5,10,0,0,0,0,1,0,1,0,0,0,17,0,17
4208955,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,1,3
4209003,0,0,0,4,0,0,0,0,3,0,0,0,0,0,7,0,7
4209102,0,0,3,69,0,4,3,0,56,0,1,4,0,0,57,83,140
4209151,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,5
4209177,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
4209201,0,0,0,5,0,0,0,0,6,0,0,0,0,0,11,0,11
4209300,0,0,0,28,0,0,1,0,31,0,6,0,0,0,29,37,66
4209409,0,0,0,11,0,0,0,0,0,0,3,0,0,0,14,0,14
4209458,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
4209508,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,4,5
4209607,0,0,0,4,0,0,1,0,7,0,0,0,0,0,3,9,12
4209706,0,0,0,2,0,0,0,0,6,0,0,0,0,0,8,0,8
4209805,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
4209854,0,0,0,2,0,1,0,0,3,0,0,0,0,0,6,0,6
4209904,0,0,0,2,0,0,0,0,9,0,0,0,0,0,8,3,11
4210001,0,0,0,10,0,2,1,0,1,0,0,0,0,0,8,6,14
4210035,0,0,0,0,0,0,1,0,8,0,0,0,0,0,8,1,9
4210050,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
4210100,0,0,0,2,0,1,0,0,8,0,1,0,0,0,10,2,12
4210209,0,0,0,8,0,2,0,0,0,0,2,0,0,0,12,0,12
4210308,0,0,0,1,0,0,0,0,9,0,0,0,0,0,10,0,10
4210407,0,0,0,0,0,0,0,0,3,0,1,0,0,0,4,0,4
